y,x,highway,ref,street_count,junction,railway,geometry
40.7863451,-73.7947484,motorway_junction,33,3,,,POINT (-73.7947484 40.7863451)
40.7624294,-73.7570906,motorway_junction,31W,3,,,POINT (-73.7570906 40.7624294)
40.7534671,-73.7441643,motorway_junction,30W,3,,,POINT (-73.7441643 40.7534671)
40.7980478,-73.9600437,traffic_signals,,3,,,POINT (-73.9600437 40.7980478)
40.7986542,-73.9614745,traffic_signals,,4,,,POINT (-73.9614745 40.7986542)
40.7992437,-73.9628734,traffic_signals,,4,,,POINT (-73.9628734 40.7992437)
40.8004295,-73.9656909,traffic_signals,,4,,,POINT (-73.9656909 40.8004295)
40.8013981,-73.9679955,traffic_signals,,4,,,POINT (-73.9679955 40.8013981)
40.8016452,-73.9685741,traffic_signals,,4,,,POINT (-73.9685741 40.8016452)
40.8022679,-73.9700504,,,3,,,POINT (-73.9700504 40.8022679)
40.7826383,-73.9750067,traffic_signals,,3,,,POINT (-73.9750067 40.7826383)
40.783828,-73.9778254,traffic_signals,,4,,,POINT (-73.9778254 40.783828)
40.7845691,-73.9795827,traffic_signals,,4,,,POINT (-73.9795827 40.7845691)
40.7850352,-73.9806732,traffic_signals,,4,,,POINT (-73.9806732 40.7850352)
40.7855915,-73.9820041,,,3,,,POINT (-73.9820041 40.7855915)
40.8593291,-73.9313239,traffic_signals,,4,,,POINT (-73.9313239 40.8593291)
40.858744,-73.930122,,,3,,,POINT (-73.930122 40.858744)
40.859012,-73.927625,,,3,,,POINT (-73.927625 40.859012)
40.859944,-73.926786,,,3,,,POINT (-73.926786 40.859944)
40.7839869,-73.9703125,traffic_signals,,3,,,POINT (-73.9703125 40.7839869)
40.7851818,-73.9731496,traffic_signals,,4,,,POINT (-73.9731496 40.7851818)
40.7863627,-73.9759753,traffic_signals,,4,,,POINT (-73.9759753 40.7863627)
40.7870876,-73.9776916,traffic_signals,,4,,,POINT (-73.9776916 40.7870876)
40.7875711,-73.9788225,traffic_signals,,4,,,POINT (-73.9788225 40.7875711)
